gutenberg_id,text
84,Frankenstein;
84,
84,"or, the Modern Prometheus"
84,
84,by Mary Wollstonecraft (Godwin) Shelley
84,
84,
84, CONTENTS
84,
84, Letter 1
84, Letter 2
84, Letter 3
84, Letter 4
84, Chapter 1
84, Chapter 2
84, Chapter 3
84, Chapter 4
84, Chapter 5
84, Chapter 6
84, Chapter 7
84, Chapter 8
84, Chapter 9
84, Chapter 10
84, Chapter 11
84, Chapter 12
84, Chapter 13
84, Chapter 14
84, Chapter 15
84, Chapter 16
84, Chapter 17
84, Chapter 18
84, Chapter 19
84, Chapter 20
84, Chapter 21
84, Chapter 22
84, Chapter 23
84, Chapter 24
84,
84,
84,
84,
84,Letter 1
84,
84,"_To Mrs. Saville, England._"
84,
84,
84,"St. Petersburgh, Dec. 11th, 17—."
84,
84,
84,You will rejoice to hear that no disaster has accompanied the
84,commencement of an enterprise which you have regarded with such evil
84,"forebodings. I arrived here yesterday, and my first task is to assure"
84,my dear sister of my welfare and increasing confidence in the success
84,of my undertaking.
84,
84,"I am already far north of London, and as I walk in the streets of"
84,"Petersburgh, I feel a cold northern breeze play upon my cheeks, which"
84,braces my nerves and fills me with delight. Do you understand this
84,"feeling? This breeze, which has travelled from the regions towards"
84,"which I am advancing, gives me a foretaste of those icy climes."
84,"Inspirited by this wind of promise, my daydreams become more fervent"
84,and vivid. I try in vain to be persuaded that the pole is the seat of
84,frost and desolation; it ever presents itself to my imagination as the
84,"region of beauty and delight. There, Margaret, the sun is for ever"
84,"visible, its broad disk just skirting the horizon and diffusing a"
84,"perpetual splendour. There—for with your leave, my sister, I will put"
84,some trust in preceding navigators—there snow and frost are banished;
84,"and, sailing over a calm sea, we may be wafted to a land surpassing in"
84,wonders and in beauty every region hitherto discovered on the habitable
84,"globe. Its productions and features may be without example, as the"
84,phenomena of the heavenly bodies undoubtedly are in those undiscovered
84,solitudes. What may not be expected in a country of eternal light? I
84,may there discover the wondrous power which attracts the needle and may
84,regulate a thousand celestial observations that require only this
84,voyage to render their seeming eccentricities consistent for ever. I
84,shall satiate my ardent curiosity with the sight of a part of the world
84,"never before visited, and may tread a land never before imprinted by"
84,"the foot of man. These are my enticements, and they are sufficient to"
84,conquer all fear of danger or death and to induce me to commence this
84,laborious voyage with the joy a child feels when he embarks in a little
84,"boat, with his holiday mates, on an expedition of discovery up his"
84,"native river. But supposing all these conjectures to be false, you"
84,cannot contest the inestimable benefit which I shall confer on all
84,"mankind, to the last generation, by discovering a passage near the pole"
84,"to those countries, to reach which at present so many months are"
84,"requisite; or by ascertaining the secret of the magnet, which, if at"
84,"all possible, can only be effected by an undertaking such as mine."
84,
84,These reflections have dispelled the agitation with which I began my
84,"letter, and I feel my heart glow with an enthusiasm which elevates me"
84,"to heaven, for nothing contributes so much to tranquillise the mind as"
84,a steady purpose—a point on which the soul may fix its intellectual
84,eye. This expedition has been the favourite dream of my early years. I
84,have read with ardour the accounts of the various voyages which have
84,been made in the prospect of arriving at the North Pacific Ocean
84,through the seas which surround the pole. You may remember that a
84,history of all the voyages made for purposes of discovery composed the
84,"whole of our good Uncle Thomas’ library. My education was neglected,"
84,yet I was passionately fond of reading. These volumes were my study
84,"day and night, and my familiarity with them increased that regret which"
84,"I had felt, as a child, on learning that my father’s dying injunction"
84,had forbidden my uncle to allow me to embark in a seafaring life.
84,
84,"These visions faded when I perused, for the first time, those poets"
84,whose effusions entranced my soul and lifted it to heaven. I also
84,became a poet and for one year lived in a paradise of my own creation;
84,I imagined that I also might obtain a niche in the temple where the
84,names of Homer and Shakespeare are consecrated. You are well
84,acquainted with my failure and how heavily I bore the disappointment.
84,"But just at that time I inherited the fortune of my cousin, and my"
84,thoughts were turned into the channel of their earlier bent.
84,
84,Six years have passed since I resolved on my present undertaking. I
84,"can, even now, remember the hour from which I dedicated myself to this"
84,great enterprise. I commenced by inuring my body to hardship. I
84,accompanied the whale-fishers on several expeditions to the North Sea;
84,"I voluntarily endured cold, famine, thirst, and want of sleep; I often"
84,worked harder than the common sailors during the day and devoted my
84,"nights to the study of mathematics, the theory of medicine, and those"
84,branches of physical science from which a naval adventurer might derive
84,the greatest practical advantage. Twice I actually hired myself as an
84,"under-mate in a Greenland whaler, and acquitted myself to admiration. I"
84,must own I felt a little proud when my captain offered me the second
84,dignity in the vessel and entreated me to remain with the greatest
84,"earnestness, so valuable did he consider my services."
84,
84,"And now, dear Margaret, do I not deserve to accomplish some great purpose?"
84,"My life might have been passed in ease and luxury, but I preferred glory to"
84,"every enticement that wealth placed in my path. Oh, that some encouraging"
84,voice would answer in the affirmative! My courage and my resolution is
84,"firm; but my hopes fluctuate, and my spirits are often depressed. I am"
84,"about to proceed on a long and difficult voyage, the emergencies of which"
84,will demand all my fortitude: I am required not only to raise the spirits
84,"of others, but sometimes to sustain my own, when theirs are failing."
84,
84,This is the most favourable period for travelling in Russia. They fly
84,"quickly over the snow in their sledges; the motion is pleasant, and, in"
84,"my opinion, far more agreeable than that of an English stagecoach. The"
84,"cold is not excessive, if you are wrapped in furs—a dress which I have"
84,"already adopted, for there is a great difference between walking the"
84,"deck and remaining seated motionless for hours, when no exercise"
84,prevents the blood from actually freezing in your veins. I have no
84,ambition to lose my life on the post-road between St. Petersburgh and
84,Archangel.
84,
84,I shall depart for the latter town in a fortnight or three weeks; and my
84,"intention is to hire a ship there, which can easily be done by paying the"
84,"insurance for the owner, and to engage as many sailors as I think necessary"
84,among those who are accustomed to the whale-fishing. I do not intend to
84,"sail until the month of June; and when shall I return? Ah, dear sister, how"
84,"can I answer this question? If I succeed, many, many months, perhaps years,"
84,"will pass before you and I may meet. If I fail, you will see me again soon,"
84,or never.
84,
84,"Farewell, my dear, excellent Margaret. Heaven shower down blessings on you,"
84,"and save me, that I may again and again testify my gratitude for all your"
84,love and kindness.
84,
84,"Your affectionate brother,"
84,
84,R. Walton
84,
84,
84,
84,
84,Letter 2
84,
84,"_To Mrs. Saville, England._"
84,
84,"Archangel, 28th March, 17—."
84,
84,
84,"How slowly the time passes here, encompassed as I am by frost and snow!"
84,Yet a second step is taken towards my enterprise. I have hired a
84,vessel and am occupied in collecting my sailors; those whom I have
84,already engaged appear to be men on whom I can depend and are certainly
84,possessed of dauntless courage.
84,
84,"But I have one want which I have never yet been able to satisfy, and the"
84,"absence of the object of which I now feel as a most severe evil, I have no"
84,"friend, Margaret: when I am glowing with the enthusiasm of success, there"
84,"will be none to participate my joy; if I am assailed by disappointment, no"
84,one will endeavour to sustain me in dejection. I shall commit my thoughts
84,"to paper, it is true; but that is a poor medium for the communication of"
84,"feeling. I desire the company of a man who could sympathise with me, whose"
84,"eyes would reply to mine. You may deem me romantic, my dear sister, but I"
84,"bitterly feel the want of a friend. I have no one near me, gentle yet"
84,"courageous, possessed of a cultivated as well as of a capacious mind, whose"
84,"tastes are like my own, to approve or amend my plans. How would such a"
84,friend repair the faults of your poor brother! I am too ardent in execution
84,and too impatient of difficulties. But it is a still greater evil to me
84,that I am self-educated: for the first fourteen years of my life I ran wild
84,on a common and read nothing but our Uncle Thomas’ books of voyages.
84,At that age I became acquainted with the celebrated poets of our own
84,country; but it was only when it had ceased to be in my power to derive its
84,most important benefits from such a conviction that I perceived the
84,necessity of becoming acquainted with more languages than that of my native
84,country. Now I am twenty-eight and am in reality more illiterate than many
84,schoolboys of fifteen. It is true that I have thought more and that my
84,"daydreams are more extended and magnificent, but they want (as the painters"
84,call it) _keeping;_ and I greatly need a friend who would have sense
84,"enough not to despise me as romantic, and affection enough for me to"
84,endeavour to regulate my mind.
84,
84,"Well, these are useless complaints; I shall certainly find no friend on the"
84,"wide ocean, nor even here in Archangel, among merchants and seamen. Yet"
84,"some feelings, unallied to the dross of human nature, beat even in these"
84,"rugged bosoms. My lieutenant, for instance, is a man of wonderful courage"
84,"and enterprise; he is madly desirous of glory, or rather, to word my phrase"
84,"more characteristically, of advancement in his profession. He is an"
84,"Englishman, and in the midst of national and professional prejudices,"
84,"unsoftened by cultivation, retains some of the noblest endowments of"
84,humanity. I first became acquainted with him on board a whale vessel;
84,"finding that he was unemployed in this city, I easily engaged him to assist"
84,in my enterprise.
84,
84,The master is a person of an excellent disposition and is remarkable in the
84,ship for his gentleness and the mildness of his discipline. This
84,"circumstance, added to his well-known integrity and dauntless courage, made"
84,"me very desirous to engage him. A youth passed in solitude, my best years"
84,"spent under your gentle and feminine fosterage, has so refined the"
84,groundwork of my character that I cannot overcome an intense distaste to
84,the usual brutality exercised on board ship: I have never believed it to be
84,"necessary, and when I heard of a mariner equally noted for his kindliness"
84,"of heart and the respect and obedience paid to him by his crew, I felt"
84,myself peculiarly fortunate in being able to secure his services. I heard
84,"of him first in rather a romantic manner, from a lady who owes to him the"
84,"happiness of her life. This, briefly, is his story. Some years ago he loved"
84,"a young Russian lady of moderate fortune, and having amassed a considerable"
84,"sum in prize-money, the father of the girl consented to the match. He saw"
84,his mistress once before the destined ceremony; but she was bathed in
84,"tears, and throwing herself at his feet, entreated him to spare her,"
84,"confessing at the same time that she loved another, but that he was poor,"
84,and that her father would never consent to the union. My generous friend
84,"reassured the suppliant, and on being informed of the name of her lover,"
84,instantly abandoned his pursuit. He had already bought a farm with his
84,"money, on which he had designed to pass the remainder of his life; but he"
84,"bestowed the whole on his rival, together with the remains of his"
84,"prize-money to purchase stock, and then himself solicited the young"
84,woman’s father to consent to her marriage with her lover. But the old
84,"man decidedly refused, thinking himself bound in honour to my friend, who,"
84,"when he found the father inexorable, quitted his country, nor returned"
84,until he heard that his former mistress was married according to her
84,inclinations. “What a noble fellow!” you will exclaim. He is
84,"so; but then he is wholly uneducated: he is as silent as a Turk, and a kind"
84,"of ignorant carelessness attends him, which, while it renders his conduct"
84,"the more astonishing, detracts from the interest and sympathy which"
84,otherwise he would command.
84,
84,"Yet do not suppose, because I complain a little or because I can"
84,"conceive a consolation for my toils which I may never know, that I am"
84,"wavering in my resolutions. Those are as fixed as fate, and my voyage"
84,is only now delayed until the weather shall permit my embarkation. The
84,"winter has been dreadfully severe, but the spring promises well, and it"
84,"is considered as a remarkably early season, so that perhaps I may sail"
84,sooner than I expected. I shall do nothing rashly: you know me
84,sufficiently to confide in my prudence and considerateness whenever the
84,safety of others is committed to my care.
84,
84,I cannot describe to you my sensations on the near prospect of my
84,undertaking. It is impossible to communicate to you a conception of
84,"the trembling sensation, half pleasurable and half fearful, with which"
84,"I am preparing to depart. I am going to unexplored regions, to “the"
84,"land of mist and snow,” but I shall kill no albatross; therefore do not"
84,be alarmed for my safety or if I should come back to you as worn and
84,"woeful as the “Ancient Mariner.” You will smile at my allusion, but I"
84,"will disclose a secret. I have often attributed my attachment to, my"
84,"passionate enthusiasm for, the dangerous mysteries of ocean to that"
84,production of the most imaginative of modern poets. There is something
84,at work in my soul which I do not understand. I am practically
84,"industrious—painstaking, a workman to execute with perseverance and"
84,"labour—but besides this there is a love for the marvellous, a belief"
84,"in the marvellous, intertwined in all my projects, which hurries me out"
84,"of the common pathways of men, even to the wild sea and unvisited"
84,regions I am about to explore.
84,
84,"But to return to dearer considerations. Shall I meet you again, after"
84,"having traversed immense seas, and returned by the most southern cape of"
84,"Africa or America? I dare not expect such success, yet I cannot bear to"
84,look on the reverse of the picture. Continue for the present to write to
84,me by every opportunity: I may receive your letters on some occasions when
84,I need them most to support my spirits. I love you very tenderly. 
84,"Remember me with affection, should you never hear from me again."
84,
84,"Your affectionate brother,"
84, Robert Walton
84,
84,
84,
84,
84,Letter 3
84,
84,"_To Mrs. Saville, England._"
84,
84,"July 7th, 17—."
84,
84,
84,"My dear Sister,"
84,
84,I write a few lines in haste to say that I am safe—and well advanced
84,on my voyage. This letter will reach England by a merchantman now on
84,"its homeward voyage from Archangel; more fortunate than I, who may not"
84,"see my native land, perhaps, for many years. I am, however, in good"
84,"spirits: my men are bold and apparently firm of purpose, nor do the"
84,"floating sheets of ice that continually pass us, indicating the dangers"
84,"of the region towards which we are advancing, appear to dismay them. We"
84,have already reached a very high latitude; but it is the height of
84,"summer, and although not so warm as in England, the southern gales,"
84,which blow us speedily towards those shores which I so ardently desire
84,"to attain, breathe a degree of renovating warmth which I had not"
84,expected.
84,
84,No incidents have hitherto befallen us that would make a figure in a
84,letter. One or two stiff gales and the springing of a leak are
84,"accidents which experienced navigators scarcely remember to record, and"
84,I shall be well content if nothing worse happen to us during our voyage.
84,
84,"Adieu, my dear Margaret. Be assured that for my own sake, as well as"
84,"yours, I will not rashly encounter danger. I will be cool,"
84,"persevering, and prudent."
84,
84,But success _shall_ crown my endeavours. Wherefore not? Thus far I
84,"have gone, tracing a secure way over the pathless seas, the very stars"
84,themselves being witnesses and testimonies of my triumph. Why not
84,still proceed over the untamed yet obedient element? What can stop the
84,determined heart and resolved will of man?
84,
84,My swelling heart involuntarily pours itself out thus. But I must
84,finish. Heaven bless my beloved sister!
84,
84,R.W.
84,
84,
84,
84,
84,Letter 4
84,
84,
84,"_To Mrs. Saville, England._"
84,
84,"August 5th, 17—."
84,
84,So strange an accident has happened to us that I cannot forbear
84,"recording it, although it is very probable that you will see me before"
84,these papers can come into your possession.
84,
84,"Last Monday (July 31st) we were nearly surrounded by ice, which closed"
